Kreisnummer;Kreisname;Siedlungsfläche
9272000;Freyung-Grafenau;9,57
9273000;Kelheim;10,83
9274000;Landshut;11,56
9275000;Passau;13,32
9276000;Regen;8,78
9277000;Rottal-Inn;10,6
9278000;Straubing-Bogen;10,73
9279000;Dingolfing-Landau;12,14
9361000;Amberg;35,83
9362000;Regensburg;57
9363000;Weiden i.d.OPf.;30,1
9371000;Amberg-Sulzbach;9,82
9372000;Cham;10,42
9373000;Neumarkt i.d.OPf.;11
9374000;Neustadt a.d.Waldnaab;9,25
9375000;Regensburg;11,32
9376000;Schwandorf;11,07
9377000;Tirschenreuth;8,53
9461000;Bamberg;50,38
9462000;Bayreuth;42,38
9463000;Coburg;41,38
9464000;Hof;37,38
9471000;Bamberg;10,41
9472000;Bayreuth;9,54
9473000;Coburg;13,58
9474000;Forchheim;12,92
9475000;Hof;12,18
9476000;Kronach;10,01
9477000;Kulmbach;11,84
9478000;Lichtenfels;12,07
9479000;Wunsiedel i.Fichtelgebirge;11,53
9561000;Ansbach;23,73
9562000;Erlangen;42,09
9563000;Fürth;47,26
9564000;Nürnberg;61,71
9565000;Schwabach;34,73
9571000;Ansbach;10,81
9572000;Erlangen-Höchstadt;14,23
9573000;Fürth;18,07
9574000;Nürnberger Land;13,7
9575000;Neustadt a.d.Aisch-Bad Windsheim;10,08
9576000;Roth;12,28
9577000;Weißenburg-Gunzenhausen;10,74
9661000;Aschaffenburg;39,89
9662000;Schweinfurt;55,41
9663000;Würzburg;48,9
9671000;Aschaffenburg;14,35
9672000;Bad Kissingen;10,68
9673000;Rhön-Grabfeld;10,05
9674000;Haßberge;10,34
9675000;Kitzingen;14,28
9676000;Miltenberg;11,6
9677000;Main-Spessart;9,51
9678000;Schweinfurt;12,86
9679000;Würzburg;12,73
9761000;Augsburg;44,13
9762000;Kaufbeuren;38,63
9763000;Kempten (Allgäu);32,65
9764000;Memmingen;26,56
9771000;Aichach-Friedberg;12,32
9772000;Augsburg;15,93
9773000;Dillingen a.d.Donau;12,07
9774000;Günzburg;14,72
9775000;Neu-Ulm;18,69
9776000;Lindau (Bodensee);13,95
9777000;Ostallgäu;8,75
9778000;Unterallgäu;11,48
9779000;Donau-Ries;11,35
9780000;Oberallgäu;6,85
10041000;Regionalverband Saarbrücken;32,31
10042000;Merzig-Wadern;14,52
10043000;Neunkirchen;27,43
10044000;Saarlouis;24,37
10045000;Saarpfalz-Kreis;20,2
10046000;St. Wendel;16,39
11000000;Berlin, Stadt;70,6
12051000;Brandenburg an der Havel, Stadt;21,7
12052000;Cottbus, Stadt;30,84
12053000;Frankfurt (Oder), Stadt;23,05
12054000;Potsdam, Stadt;31,62
12060000;Barnim;11,17
12061000;Dahme-Spreewald;9,7
12062000;Elbe-Elster;8,49
12063000;Havelland;10,85
12064000;Märkisch-Oderland;11,19
12065000;Oberhavel;10,48
12066000;Oberspreewald-Lausitz;12,22
12067000;Oder-Spree;10,06
12068000;Ostprignitz-Ruppin;6,73
